ID,Ano,Faixa-Etária,Gênero,Como você se identifica,Estado,Região,Escolaridade,Área de Formação,Você está trabalhando?,Setor,Cargo como Gestor,Cargo Atual,Nivel,Média Salarial,Tempo de experiência na área de dados
ID3150,2023,25-29,Masculino,Parda,PR,Sul,Graduação,Tecnologia,Sim,Tecnologia,Não,Desenvolvedor Web,Júnior,2500,3 a 4 anos
ID3151,2023,30-34,Masculino,Branca,RJ,Sudeste,Pós-graduação,Negócios,Sim,Entretenimento ou Esportes,Sim,Supervisor,Não Declarou,10000,7 a 10 anos
ID3152,2023,35-39,Masculino,Parda,PB,Nordeste,Mestrado,Tecnologia,Sim,Internet,Não,Engenheiro de Dados,Sênior,14000,5 a 6 anos
ID3153,2023,35-39,Masculino,Branca,SP,Sudeste,Graduação,Negócios,Sim,Internet,Não,Engenheiro de Dados,Sênior,14000,7 a 10 anos
ID3154,2023,25-29,Masculino,Branca,PR,Sul,Graduação,Engenharia,Sim,Área da Saúde,Não,Cientista de Dados,Sênior,45000,5 a 6 anos
ID3155,2023,40-44,Feminino,Branca,MG,Sudeste,Doutorado ou Phd,Negócios,Sim,Área de Consultoria,Sim,Supervisor,Não Declarou,10000,3 a 4 anos
ID3156,2023,25-29,Feminino,Branca,SP,Sudeste,Graduação,Tecnologia,Sim,Setor Alimentício,Não,Engenheiro de Dados,Júnior,7000,1 a 2 anos
ID3157,2023,35-39,Masculino,Branca,Não Declarou,Não Declarou,Graduação,Saúde,Sim,Setor Alimentício,Não,Analista de Dados,Júnior,1500,Menos 1 ano
ID3158,2023,35-39,Feminino,Parda,MG,Sudeste,Pós-graduação,Estatística,Sim,Finanças ou Bancos,Sim,Gerente,Não Declarou,14000,Mais 10 anos
ID3160,2023,30-34,Feminino,Parda,SP,Sudeste,Mestrado,Tecnologia,Sim,Varejo,Não,Analytics Engineer,Pleno,7000,1 a 2 anos
ID3161,2023,30-34,Masculino,Branca,SP,Sudeste,Mestrado,Negócios,Sim,Área de Consultoria,Não,Economista,Pleno,10000,5 a 6 anos
ID3162,2023,30-34,Masculino,Parda,SP,Sudeste,Não tenho graduação,Não tenho graduação,Sim,Área de Consultoria,Não,Desenvolvedor Web,Sênior,14000,7 a 10 anos
ID3163,2023,35-39,Masculino,Preta,SP,Sudeste,Não tenho graduação,Não tenho graduação,Sim,Tecnologia,Não,Cientista de Dados,Sênior,18000,7 a 10 anos
ID3164,2023,35-39,Masculino,Parda,SP,Sudeste,Pós-graduação,Negócios,Sim,Setor Alimentício,Sim,Gerente,Não Declarou,27500,7 a 10 anos
ID3166,2023,30-34,Masculino,Branca,SP,Sudeste,Pós-graduação,Tecnologia,Sim,Área da Saúde,Não,Engenheiro de Dados,Sênior,10000,3 a 4 anos
