ID,Ano,Faixa-Etária,Gênero,Como você se identifica,Estado,Região,Escolaridade,Área de Formação,Você está trabalhando?,Setor,Cargo como Gestor,Cargo Atual,Nivel,Média Salarial,Tempo de experiência na área de dados
ID044,2022,25-29,Masculino,Parda,SP,Sudeste,Graduação,Tecnologia,Sim,Finanças ou Bancos,Não,Cientista de Dados,Júnior,7000,1 a 2 anos
ID045,2022,30-34,Masculino,Branca,SP,Sudeste,Graduação,Engenharia,Sim,Outra Opção,Não,Analista de Negócios,Sênior,10000,4 a 6 anos
ID046,2022,30-34,Feminino,Parda,DF,Centro-oeste,Pós-graduação,Tecnologia,Sim,Varejo,Sim,Supervisor,Não Declarou,18000,Mais 10 anos
ID047,2022,25-29,Masculino,Branca,SP,Sudeste,Graduação,Tecnologia,Sim,Internet,Não,Engenheiro de Dados,Pleno,10000,4 a 6 anos
ID048,2022,30-34,Masculino,Preta,MG,Sudeste,Graduação,Tecnologia,Sim,Finanças ou Bancos,Não,Analista de BI,Sênior,10000,7 a 10 anos
ID049,2022,30-34,Masculino,Branca,PR,Sul,Pós-graduação,Economia,Sim,Varejo,Não,Analista de Negócios,Pleno,7000,1 a 2 anos
ID050,2022,30-34,Feminino,Parda,SP,Sudeste,Mestrado,Economia,Sim,Área da Saúde,Não,Cientista de Dados,Sênior,14000,3 a 4 anos
ID051,2022,35-39,Masculino,Branca,SP,Sudeste,Pós-graduação,Tecnologia,Sim,Área da Saúde,Não,Engenheiro de Dados,Pleno,14000,Mais 10 anos
ID052,2022,35-39,Masculino,Parda,RJ,Sudeste,Pós-graduação,Tecnologia,Sim,Setor Alimentício,Sim,Gerente,Não Declarou,10000,4 a 6 anos
ID053,2022,30-34,Masculino,Parda,MG,Sudeste,Pós-graduação,Tecnologia,Sim,Internet,Não,Analytics Engineer,Pleno,7000,3 a 4 anos
ID054,2022,55+,Masculino,Preta,MG,Sudeste,Pós-graduação,Tecnologia,Sim,Indústria,Não,Analista de Dados,Júnior,5000,1 a 2 anos
ID055,2022,35-39,Masculino,Parda,MG,Sudeste,Pós-graduação,Tecnologia,Sim,Setor Automotivo,Não,Analista de Dados,Sênior,7000,7 a 10 anos
ID056,2022,45-49,Masculino,Parda,SP,Sudeste,Pós-graduação,Tecnologia,Sim,Internet,Sim,Tech Leader,Não Declarou,27500,4 a 6 anos
ID057,2022,25-29,Masculino,Branca,RS,Sul,Estudante de Graduação,Tecnologia,Sim,Finanças ou Bancos,Não,Engenheiro de Dados,Sênior,10000,1 a 2 anos
ID058,2022,25-29,Feminino,Branca,SP,Sudeste,Graduação,Tecnologia,Sim,Tecnologia,Não,Analista de BI,Pleno,7000,1 a 2 anos
ID059,2022,30-34,Masculino,Parda,MT,Centro-oeste,Estudante de Graduação,Tecnologia,Sim,Indústria,Não,Analista de Dados,Pleno,2500,4 a 6 anos
ID060,2022,25-29,Feminino,Branca,SP,Sudeste,Graduação,Outra opção,Sim,Outra Opção,Não,Analista de Dados,Júnior,7000,1 a 2 anos
ID061,2022,35-39,Masculino,Parda,SP,Sudeste,Mestrado,Estatística,Sim,Tecnologia,Sim,Sócio ou C-level,Não Declarou,45000,Mais 10 anos
ID062,2022,30-34,Feminino,Branca,MG,Sudeste,Graduação,Tecnologia,Sim,Entretenimento ou Esportes,Não,Engenheiro de Dados,Sênior,14000,Mais 10 anos
ID063,2022,25-29,Masculino,Parda,SP,Sudeste,Pós-graduação,Engenharia,Sim,Varejo,Não,Analista de Dados,Pleno,10000,1 a 2 anos
ID064,2022,40-44,Masculino,Branca,BA,Nordeste,Doutorado ou Phd,Ciência da Natureza,Sim,Educação,Sim,Tech Leader,Não Declarou,35000,Mais 10 anos
ID065,2022,35-39,Masculino,Branca,SP,Sudeste,Graduação,Engenharia,Sim,Tecnologia,Não,Cientista de Dados,Sênior,27500,4 a 6 anos
ID066,2022,40-44,Feminino,Branca,SP,Sudeste,Pós-graduação,Ciências Sociais,Sim,Internet,Não,Analista de Dados,Pleno,10000,3 a 4 anos
ID067,2022,30-34,Feminino,Branca,SP,Sudeste,Mestrado,Tecnologia,Sim,Finanças ou Bancos,Sim,Supervisor,Não Declarou,18000,4 a 6 anos
ID069,2022,30-34,Masculino,Parda,RJ,Sudeste,Graduação,Tecnologia,Sim,Varejo,Não,Engenheiro de Dados,Sênior,10000,3 a 4 anos
ID070,2022,45-49,Masculino,Branca,PR,Sul,Pós-graduação,Tecnologia,Sim,Área de Consultoria,Não,Engenheiro de Dados,Sênior,10000,1 a 2 anos
ID071,2022,30-34,Masculino,Branca,SP,Sudeste,Pós-graduação,Tecnologia,Sim,Tecnologia,Não,Analytics Engineer,Sênior,22500,Mais 10 anos
ID072,2022,30-34,Feminino,Branca,SP,Sudeste,Graduação,Outra opção,Sim,Outra Opção,Não,Cientista de Dados,Pleno,14000,3 a 4 anos
ID073,2022,25-29,Feminino,Branca,SP,Sudeste,Pós-graduação,Engenharia,Sim,Indústria,Não,Engenheiro de Dados,Pleno,7000,1 a 2 anos
ID074,2022,50-54,Masculino,Branca,RS,Sul,Pós-graduação,Tecnologia,Sim,Outra Opção,Sim,Supervisor,Não Declarou,5000,1 a 2 anos
ID075,2022,25-29,Feminino,Parda,MG,Sudeste,Mestrado,Tecnologia,Sim,Internet,Não,Cientista de Dados,Pleno,18000,4 a 6 anos
ID076,2022,22-24,Masculino,Parda,ES,Sudeste,Graduação,Engenharia,Sim,Finanças ou Bancos,Não,Analista de Dados,Pleno,5000,1 a 2 anos
ID077,2022,30-34,Feminino,Parda,PR,Sul,Pós-graduação,Estatística,Sim,Indústria,Não,Analista de Dados,Sênior,10000,7 a 10 anos
ID078,2022,35-39,Feminino,Branca,PR,Sul,Pós-graduação,Engenharia,Sim,Área de Consultoria,Não,Analista de Suporte,Júnior,1500,Menos 1 ano
ID079,2022,30-34,Masculino,Parda,RJ,Sudeste,Mestrado,Ciência da Natureza,Sim,Área de Consultoria,Não,Engenheiro de Dados,Pleno,5000,1 a 2 anos
ID080,2022,50-54,Feminino,Branca,SP,Sudeste,Graduação,Economia,Sim,Finanças ou Bancos,Não,Analista de BI,Pleno,2500,Mais 10 anos
ID081,2022,25-29,Masculino,Parda,PE,Nordeste,Pós-graduação,Engenharia,Sim,Área de Consultoria,Sim,Tech Leader,Não Declarou,5000,3 a 4 anos
ID082,2022,25-29,Masculino,Branca,SP,Sudeste,Mestrado,Economia,Sim,Finanças ou Bancos,Não,Analista de Dados,Júnior,5000,Menos 1 ano
ID083,2022,30-34,Feminino,Branca,SP,Sudeste,Pós-graduação,Tecnologia,Sim,Finanças ou Bancos,Sim,Supervisor,Não Declarou,18000,Mais 10 anos
ID084,2022,25-29,Masculino,Branca,MG,Sudeste,Graduação,Outra opção,Sim,Outra Opção,Não,Analista de BI,Pleno,3500,3 a 4 anos
ID085,2022,22-24,Masculino,Branca,SP,Sudeste,Pós-graduação,Estatística,Sim,Setor Automotivo,Sim,Gerente,Não Declarou,18000,3 a 4 anos
ID086,2022,25-29,Masculino,Branca,SC,Sul,Estudante de Graduação,Engenharia,Sim,Indústria,Sim,Gerente,Não Declarou,14000,1 a 2 anos
ID088,2022,35-39,Masculino,Parda,RJ,Sudeste,Pós-graduação,Outra opção,Sim,Setor Farmaceutico,Não,Analista de BI,Pleno,5000,4 a 6 anos
ID089,2022,25-29,Feminino,Branca,SP,Sudeste,Graduação,Ciências Sociais,Sim,Seguros ou Previdência,Não,Analista de Dados,Pleno,5000,3 a 4 anos
ID090,2022,25-29,Masculino,Branca,SP,Sudeste,Graduação,Engenharia,Sim,Área da Saúde,Sim,Gerente,Não Declarou,18000,1 a 2 anos
ID091,2022,30-34,Masculino,Branca,PR,Sul,Pós-graduação,Engenharia,Sim,Indústria,Não,Engenheiro de Machine Learning,Pleno,7000,3 a 4 anos
ID092,2022,17-21,Masculino,Parda,SP,Sudeste,Estudante de Graduação,Comunicação,Sim,Internet,Não,Analista de Dados,Júnior,5000,1 a 2 anos
ID093,2022,25-29,Masculino,Preta,MG,Sudeste,Graduação,Engenharia,Sim,Indústria,Não,Cientista de Dados,Pleno,7000,3 a 4 anos
ID094,2022,22-24,Masculino,Parda,SP,Sudeste,Pós-graduação,Engenharia,Sim,Indústria,Não,Analytics Engineer,Pleno,5000,1 a 2 anos
ID095,2022,25-29,Masculino,Preta,PR,Sul,Graduação,Economia,Sim,Indústria,Não,Analista de Dados,Júnior,2500,Menos 1 ano
ID096,2022,25-29,Masculino,Branca,RJ,Sudeste,Graduação,Engenharia,Sim,Setor de Energia,Não,Analista de BI,Júnior,7000,1 a 2 anos
ID097,2022,55+,Masculino,Preta,SP,Sudeste,Pós-graduação,Tecnologia,Sim,Setor Público,Não,Analista de Dados,Pleno,14000,7 a 10 anos
ID098,2022,30-34,Masculino,Branca,MG,Sudeste,Graduação,Engenharia,Sim,Área de Consultoria,Não,Engenheiro de Dados,Júnior,1500,Menos 1 ano
ID099,2022,35-39,Feminino,Branca,RJ,Sudeste,Mestrado,Outra opção,Sim,Setor Público,Sim,Supervisor,Não Declarou,3500,Menos 1 ano
ID100,2022,30-34,Masculino,Branca,SP,Sudeste,Graduação,Tecnologia,Sim,Varejo,Sim,Gerente,Não Declarou,18000,Mais 10 anos
ID1000,2022,25-29,Feminino,Preta,RJ,Sudeste,Pós-graduação,Estatística,Sim,Tecnologia,Não,Analista de Dados,Júnior,3500,Menos 1 ano
ID1001,2022,17-21,Masculino,Branca,SP,Sudeste,Estudante de Graduação,Tecnologia,Sim,Área de Consultoria,Não,Engenheiro de Dados,Pleno,7000,1 a 2 anos
ID1002,2022,55+,Masculino,Branca,SP,Sudeste,Não tenho graduação,Não tenho graduação,Sim,Tecnologia,Sim,Supervisor,Não Declarou,7000,3 a 4 anos
ID1003,2022,35-39,Masculino,Branca,DF,Centro-oeste,Mestrado,Saúde,Sim,Área da Saúde,Sim,Gerente,Não Declarou,10000,3 a 4 anos
ID1004,2022,45-49,Masculino,Branca,RJ,Sudeste,Pós-graduação,Tecnologia,Sim,Finanças ou Bancos,Não,Analista de BI,Pleno,10000,Mais 10 anos
ID1005,2022,22-24,Masculino,Parda,SP,Sudeste,Graduação,Tecnologia,Sim,Finanças ou Bancos,Não,Engenheiro de Machine Learning,Pleno,5000,3 a 4 anos
ID1006,2022,35-39,Masculino,Branca,PR,Sul,Graduação,Estatística,Sim,Indústria,Sim,Supervisor,Não Declarou,14000,Mais 10 anos
ID1007,2022,25-29,Feminino,Branca,PR,Sul,Pós-graduação,Tecnologia,Sim,Tecnologia,Não,Data Product Manager,Pleno,10000,3 a 4 anos
ID1008,2022,30-34,Feminino,Branca,GO,Centro-oeste,Pós-graduação,Tecnologia,Sim,Marketing,Sim,Sócio ou C-level,Não Declarou,14000,1 a 2 anos
ID1009,2022,40-44,Masculino,Parda,DF,Centro-oeste,Mestrado,Estatística,Sim,Área da Saúde,Sim,Supervisor,Não Declarou,35000,Mais 10 anos
ID101,2022,25-29,Masculino,Parda,SP,Sudeste,Mestrado,Tecnologia,Sim,Seguros ou Previdência,Não,Engenheiro de Dados,Pleno,14000,3 a 4 anos
ID1010,2022,17-21,Masculino,Branca,SP,Sudeste,Estudante de Graduação,Economia,Sim,Finanças ou Bancos,Não,Analista de BI,Júnior,2500,Menos 1 ano
ID1011,2022,30-34,Masculino,Branca,SP,Sudeste,Pós-graduação,Engenharia,Sim,Seguros ou Previdência,Sim,Supervisor,Não Declarou,14000,7 a 10 anos
ID1012,2022,35-39,Masculino,Branca,RS,Sul,Pós-graduação,Tecnologia,Sim,Varejo,Sim,Gerente,Não Declarou,14000,Mais 10 anos
ID1013,2022,22-24,Masculino,Parda,ES,Sudeste,Graduação,Economia,Sim,Setor Automotivo,Não,Analista de Dados,Júnior,1500,Menos 1 ano
ID1014,2022,35-39,Masculino,Branca,SP,Sudeste,Graduação,Comunicação,Sim,Telecomunicação,Sim,Gerente,Não Declarou,18000,Mais 10 anos
ID1015,2022,17-21,Feminino,Branca,RS,Sul,Não tenho graduação,Não tenho graduação,Sim,Finanças ou Bancos,Não,Analista de BI,Júnior,2500,1 a 2 anos
ID1016,2022,25-29,Masculino,Preta,SC,Sul,Pós-graduação,Tecnologia,Sim,Internet,Não,Analista de BI,Pleno,5000,3 a 4 anos
ID1017,2022,40-44,Masculino,Branca,PR,Sul,Pós-graduação,Economia,Sim,Varejo,Sim,Supervisor,Não Declarou,18000,Mais 10 anos
ID1018,2022,30-34,Masculino,Parda,SP,Sudeste,Graduação,Tecnologia,Sim,Internet,Não,Analista de Dados,Pleno,7000,1 a 2 anos
ID1019,2022,25-29,Masculino,Parda,RN,Nordeste,Estudante de Graduação,Engenharia,Sim,Telecomunicação,Não,Analista de BI,Júnior,3500,1 a 2 anos
ID102,2022,30-34,Masculino,Parda,PE,Nordeste,Mestrado,Estatística,Sim,Varejo,Sim,Tech Leader,Não Declarou,10000,4 a 6 anos
ID1020,2022,25-29,Masculino,Branca,SP,Sudeste,Graduação,Estatística,Sim,Finanças ou Bancos,Não,Cientista de Dados,Pleno,10000,3 a 4 anos
ID1021,2022,22-24,Masculino,Branca,BA,Nordeste,Pós-graduação,Tecnologia,Sim,Finanças ou Bancos,Não,Cientista de Dados,Sênior,14000,1 a 2 anos
ID1022,2022,30-34,Masculino,Parda,SP,Sudeste,Graduação,Tecnologia,Sim,Setor Alimentício,Não,Analista de Negócios,Sênior,10000,3 a 4 anos
ID1023,2022,25-29,Feminino,Branca,SP,Sudeste,Graduação,Outra opção,Sim,Finanças ou Bancos,Não,Engenheiro de Dados,Júnior,7000,1 a 2 anos
ID1024,2022,25-29,Feminino,Branca,SP,Sudeste,Graduação,Tecnologia,Sim,Tecnologia,Não,Analista de Dados,Júnior,5000,1 a 2 anos
ID1025,2022,25-29,Masculino,Parda,AM,Norte,Pós-graduação,Estatística,Sim,Internet,Não,Analista de BI,Sênior,10000,7 a 10 anos
ID1026,2022,25-29,Masculino,Branca,SP,Sudeste,Graduação,Estatística,Sim,Setor Automotivo,Sim,Gerente,Não Declarou,14000,4 a 6 anos
ID1027,2022,17-21,Masculino,Branca,SP,Sudeste,Graduação,Tecnologia,Sim,Tecnologia,Não,Analista de BI,Júnior,1500,Menos 1 ano
ID1028,2022,25-29,Feminino,Branca,DF,Centro-oeste,Graduação,Engenharia,Sim,Área de Consultoria,Não,Engenheiro de Machine Learning,Pleno,10000,1 a 2 anos
ID1029,2022,30-34,Masculino,Branca,RS,Sul,Doutorado ou Phd,Tecnologia,Sim,Agronegócios,Não,Cientista de Dados,Pleno,10000,4 a 6 anos
ID103,2022,25-29,Masculino,Branca,RS,Sul,Mestrado,Tecnologia,Sim,Varejo,Não,Cientista de Dados,Pleno,10000,3 a 4 anos
ID1030,2022,35-39,Feminino,Parda,SP,Sudeste,Graduação,Tecnologia,Sim,Tecnologia,Não,Analista de Suporte,Pleno,2500,1 a 2 anos
ID1031,2022,35-39,Masculino,Parda,RN,Nordeste,Pós-graduação,Tecnologia,Sim,Varejo,Não,Analista de BI,Sênior,10000,Mais 10 anos
ID1033,2022,25-29,Masculino,Preta,SP,Sudeste,Doutorado ou Phd,Estatística,Sim,Finanças ou Bancos,Sim,Tech Leader,Não Declarou,14000,4 a 6 anos
ID1034,2022,25-29,Masculino,Branca,MG,Sudeste,Doutorado ou Phd,Engenharia,Sim,Tecnologia,Não,Cientista de Dados,Pleno,7000,1 a 2 anos
ID1035,2022,35-39,Feminino,Branca,PR,Sul,Pós-graduação,Economia,Sim,Indústria,Não,Analista de Suporte,Pleno,7000,4 a 6 anos
ID1036,2022,35-39,Masculino,Branca,SC,Sul,Pós-graduação,Tecnologia,Sim,Setor Farmaceutico,Sim,Gerente,Não Declarou,18000,4 a 6 anos
ID1037,2022,25-29,Masculino,Branca,SP,Sudeste,Estudante de Graduação,Tecnologia,Sim,Finanças ou Bancos,Não,Analista de Dados,Júnior,1500,1 a 2 anos
ID1038,2022,35-39,Masculino,Branca,SP,Sudeste,Mestrado,Tecnologia,Sim,Setor Imobiliário,Sim,Diretor/VP,Não Declarou,45000,Mais 10 anos
ID1039,2022,22-24,Feminino,Branca,BA,Nordeste,Graduação,Estatística,Sim,Entretenimento ou Esportes,Não,Analista de Dados,Júnior,5000,1 a 2 anos
ID104,2022,22-24,Masculino,Branca,SE,Nordeste,Estudante de Graduação,Engenharia,Sim,Finanças ou Bancos,Não,Analytics Engineer,Júnior,5000,Menos 1 ano
ID1040,2022,17-21,Masculino,Preta,SP,Sudeste,Estudante de Graduação,Estatística,Sim,Setor Farmaceutico,Não,Analista de Inteligência de Mercado,Júnior,1500,Menos 1 ano
ID1041,2022,25-29,Masculino,Branca,SP,Sudeste,Graduação,Engenharia,Sim,Finanças ou Bancos,Sim,Sócio ou C-level,Não Declarou,10000,4 a 6 anos
ID1042,2022,30-34,Masculino,Parda,SP,Sudeste,Pós-graduação,Estatística,Sim,Tecnologia,Sim,Gerente,Não Declarou,18000,Mais 10 anos
ID1043,2022,22-24,Masculino,Branca,RJ,Sudeste,Estudante de Graduação,Tecnologia,Sim,Telecomunicação,Não,Analista de Dados,Pleno,5000,3 a 4 anos
ID1044,2022,35-39,Masculino,Parda,DF,Centro-oeste,Pós-graduação,Economia,Sim,Varejo,Não,Analista de Dados,Sênior,10000,4 a 6 anos
ID1045,2022,22-24,Masculino,Parda,SP,Sudeste,Graduação,Economia,Sim,Finanças ou Bancos,Não,Analista de Dados,Júnior,3500,Menos 1 ano
ID1046,2022,40-44,Masculino,Branca,SP,Sudeste,Pós-graduação,Tecnologia,Sim,Agronegócios,Sim,Gerente,Não Declarou,22500,1 a 2 anos
ID1047,2022,25-29,Masculino,Branca,SP,Sudeste,Graduação,Engenharia,Sim,Finanças ou Bancos,Não,Cientista de Dados,Sênior,10000,4 a 6 anos
ID1048,2022,22-24,Masculino,Branca,SP,Sudeste,Estudante de Graduação,Economia,Sim,Seguros ou Previdência,Não,Analista de Dados,Júnior,5000,Menos 1 ano
ID1049,2022,25-29,Masculino,Parda,MG,Sudeste,Pós-graduação,Engenharia,Sim,Marketing,Não,Analista de Inteligência de Mercado,Júnior,3500,1 a 2 anos
ID105,2022,22-24,Masculino,Preta,SP,Sudeste,Estudante de Graduação,Tecnologia,Sim,Outra Opção,Não,Analista de BI,Júnior,1500,Menos 1 ano
ID1050,2022,30-34,Masculino,Branca,SP,Sudeste,Estudante de Graduação,Tecnologia,Sim,Tecnologia,Sim,Tech Leader,Não Declarou,10000,1 a 2 anos
ID1051,2022,30-34,Masculino,Branca,SP,Sudeste,Doutorado ou Phd,Economia,Sim,Área de Consultoria,Não,Cientista de Dados,Sênior,35000,Mais 10 anos
ID1052,2022,40-44,Masculino,Branca,SP,Sudeste,Pós-graduação,Tecnologia,Sim,Outra Opção,Sim,Supervisor,Não Declarou,18000,7 a 10 anos
ID1053,2022,30-34,Masculino,Parda,SP,Sudeste,Graduação,Tecnologia,Sim,Tecnologia,Não,Engenheiro de Dados,Sênior,14000,7 a 10 anos
ID1054,2022,25-29,Masculino,Branca,RS,Sul,Mestrado,Estatística,Sim,Finanças ou Bancos,Não,Engenheiro de Dados,Pleno,14000,3 a 4 anos
ID1055,2022,35-39,Masculino,Parda,MG,Sudeste,Pós-graduação,Tecnologia,Sim,Tecnologia,Não,Desenvolvedor Web,Pleno,7000,4 a 6 anos
ID1057,2022,30-34,Masculino,Branca,SC,Sul,Pós-graduação,Engenharia,Sim,Finanças ou Bancos,Não,Engenheiro de Dados,Pleno,10000,3 a 4 anos
ID1058,2022,25-29,Masculino,Parda,DF,Centro-oeste,Graduação,Engenharia,Sim,Área de Consultoria,Não,Engenheiro de Dados,Júnior,1500,Menos 1 ano
ID1059,2022,25-29,Masculino,Branca,SC,Sul,Graduação,Tecnologia,Sim,Tecnologia,Sim,Supervisor,Não Declarou,10000,7 a 10 anos
ID106,2022,40-44,Masculino,Preta,SP,Sudeste,Pós-graduação,Tecnologia,Sim,Setor Alimentício,Não,Desenvolvedor Web,Sênior,10000,Menos 1 ano
ID1060,2022,25-29,Feminino,Branca,PR,Sul,Mestrado,Engenharia,Sim,Área de Consultoria,Não,Cientista de Dados,Pleno,10000,3 a 4 anos
ID1061,2022,25-29,Masculino,Branca,SP,Sudeste,Pós-graduação,Tecnologia,Sim,Finanças ou Bancos,Não,Analytics Engineer,Sênior,14000,4 a 6 anos
ID1062,2022,22-24,Masculino,Parda,CE,Nordeste,Graduação,Engenharia,Sim,Tecnologia,Não,Analista de Dados,Sênior,14000,Menos 1 ano
ID1063,2022,30-34,Masculino,Branca,PR,Sul,Mestrado,Tecnologia,Sim,Setor Público,Sim,Gerente,Não Declarou,5000,3 a 4 anos
