Data;INPC - saúde e cuidados pessoais - taxa de variação - (% a.m.) - Instituto Brasileiro de Geografia e Estatística, Sistema Nacional de Índices de Preços ao Consumidor (IBGE/SNIPC) - PRECOS12_INPCSC12;
1980-10;7,62;
1980-11;3,43;
1980-12;3,15;
1981-01;3,38;
1981-02;4,01;
1981-03;10,23;
1981-04;13,2;
1981-05;8,74;
1981-06;6,04;
1981-07;7,44;
1981-08;6,24;
1981-09;13,21;
1981-10;5,59;
1981-11;3,84;
1981-12;5,36;
1982-01;7,59;
1982-02;4,56;
1982-03;7,63;
1982-04;6,43;
1982-05;4,73;
1982-06;7,33;
1982-07;5,57;
1982-08;4,07;
1982-09;3,58;
1982-10;5,31;
1982-11;7,92;
1982-12;6,69;
1983-01;10,9;
1983-02;4,33;
1983-03;8,04;
1983-04;12,71;
1983-05;7,3;
1983-06;8,85;
1983-07;9,21;
1983-08;7,92;
1983-09;12,22;
1983-10;6,92;
1983-11;9,42;
1983-12;6,97;
1984-01;11,14;
1984-02;4,99;
1984-03;8,53;
1984-04;13,09;
1984-05;6,77;
1984-06;8,85;
1984-07;16,92;
1984-08;6,53;
1984-09;5,85;
1984-10;11,66;
1984-11;13,32;
1984-12;7,36;
1985-01;15,57;
1985-02;13,55;
1985-03;8,01;
1985-04;18,95;
1985-05;8,52;
1985-06;5,98;
1985-07;5,63;
1985-08;8,74;
1985-09;10,75;
1985-10;5,75;
1985-11;15,34;
1985-12;8,52;
1986-01;9,47;
1986-02;11,05;
1986-03;0,34;
1986-04;1,16;
1986-05;0,4;
1986-06;0,36;
1986-07;0,13;
1986-08;0,17;
1986-09;0,41;
1986-10;0,42;
1986-11;0,6;
1986-12;2;
1987-01;8,23;
1987-02;11,93;
1987-03;27,66;
1987-04;39,56;
1987-05;25,93;
1987-06;29,3;
1987-07;5,42;
1987-08;1,66;
1987-09;6,2;
1987-10;7,15;
1987-11;17,14;
1987-12;27,5;
1988-01;26,13;
1988-02;18,16;
1988-03;15,57;
1988-04;15,11;
1988-05;14,73;
1988-06;18,43;
1988-07;19,13;
1988-08;20,02;
1988-09;24,98;
1988-10;23,9;
1988-11;27,85;
1988-12;32,53;
1989-01;34,7;
1989-02;15,82;
1989-03;5,66;
1989-04;4,08;
1989-05;6,59;
1989-06;22,1;
