DataHora,Satelite,Pais,Estado,Municipio,Bioma,DiaSemChuva,Precipitacao,RiscoFogo,Latitude,Longitude,FRP
2023/01/02 17:11:00,AQUA_M-T,Brasil,MATO GROSSO,CÁCERES,Pantanal,2.0,2.25,0.03,-17.52869,-57.66138,82.4
2023/01/02 17:11:00,AQUA_M-T,Brasil,MATO GROSSO,POCONÉ,Pantanal,0.0,0.63,0.07,-17.61373,-57.48255,63.7
2023/01/02 17:11:00,AQUA_M-T,Brasil,MATO GROSSO,POCONÉ,Pantanal,0.0,0.56,0.06,-17.61592,-57.47493,101.4
2023/01/02 17:13:00,AQUA_M-T,Brasil,MARANHÃO,AMARANTE DO MARANHÃO,Cerrado,0.0,0.0,0.08,-5.45368,-46.83593,22.2
2023/01/02 17:13:00,AQUA_M-T,Brasil,MARANHÃO,TASSO FRAGOSO,Cerrado,0.0,0.0,0.02,-8.4251,-46.00357,20.9
2023/01/02 17:13:00,AQUA_M-T,Brasil,MARANHÃO,ALTO PARNAÍBA,Cerrado,0.0,0.34,0.08,-9.05228,-46.17465,20.1
2023/01/02 17:13:00,AQUA_M-T,Brasil,TOCANTINS,DOIS IRMÃOS DO TOCANTINS,Cerrado,0.0,0.56,0.0,-9.48866,-48.88199,14.5
2023/01/02 17:13:00,AQUA_M-T,Brasil,MATO GROSSO,PEIXOTO DE AZEVEDO,Amazônia,0.0,16.45,0.0,-9.86201,-53.8826,14.8
2023/01/02 17:11:00,AQUA_M-T,Brasil,BAHIA,BAIANÓPOLIS,Cerrado,7.0,0.0,0.02,-12.63814,-44.45765,97.1
2023/01/02 17:11:00,AQUA_M-T,Brasil,BAHIA,SÃO DESIDÉRIO,Cerrado,1.0,0.1,0.02,-12.92164,-45.82481,28.1
2023/01/02 17:11:00,AQUA_M-T,Brasil,BAHIA,SÃO DESIDÉRIO,Cerrado,1.0,0.1,0.02,-12.92398,-45.83907,32.5
2023/01/02 17:11:00,AQUA_M-T,Brasil,MATO GROSSO DO SUL,SONORA,Cerrado,0.0,16.2,0.0,-17.63758,-54.78225,16.2
2023/01/02 17:11:00,AQUA_M-T,Brasil,MATO GROSSO DO SUL,CORUMBÁ,Pantanal,0.0,0.4,0.16,-18.22561,-56.388,78.5
2023/01/02 17:11:00,AQUA_M-T,Brasil,MATO GROSSO DO SUL,CORUMBÁ,Pantanal,1.0,1.4,0.1,-18.44324,-56.72925,31.7
2023/01/02 17:09:00,AQUA_M-T,Brasil,SÃO PAULO,UCHOA,Mata Atlântica,0.0,33.76,0.0,-20.93935,-49.1255,5.1
2023/01/02 17:09:00,AQUA_M-T,Brasil,SÃO PAULO,CASA BRANCA,Cerrado,0.0,9.58,0.0,-21.92071,-47.15109,7.1
2023/01/02 17:09:00,AQUA_M-T,Brasil,SÃO PAULO,PIRACICABA,Cerrado,0.0,7.64,0.04,-22.69796,-48.0429,40.7
