DataHora,Satelite,Pais,Estado,Municipio,Bioma,DiaSemChuva,Precipitacao,RiscoFogo,Latitude,Longitude,FRP
2022/01/23 15:58:00,AQUA_M-T,Brasil,CEARÁ,ITAPIPOCA,Caatinga,1.0,0.2,0.2,-3.20271,-39.43607,125.0
2022/01/23 15:58:00,AQUA_M-T,Brasil,MARANHÃO,ALDEIAS ALTAS,Cerrado,1.0,0.1,0.0,-4.37399,-43.28779,33.2
2022/01/23 15:58:00,AQUA_M-T,Brasil,MARANHÃO,ALDEIAS ALTAS,Cerrado,2.0,0.2,0.0,-4.41791,-43.27488,31.3
2022/01/23 15:58:00,AQUA_M-T,Brasil,MARANHÃO,SANTA QUITÉRIA DO MARANHÃO,Cerrado,3.0,3.3,0.1,-3.28149,-42.86728,23.2
2022/01/23 15:58:00,AQUA_M-T,Brasil,MARANHÃO,ALDEIAS ALTAS,Cerrado,2.0,0.2,0.0,-4.41906,-43.28168,35.2
2022/01/23 15:58:00,AQUA_M-T,Brasil,MARANHÃO,ALDEIAS ALTAS,Cerrado,2.0,0.2,0.0,-4.43292,-43.2728,41.0
2022/01/23 15:58:00,AQUA_M-T,Brasil,MARANHÃO,ALDEIAS ALTAS,Cerrado,2.0,0.2,0.0,-4.43408,-43.27964,44.4
2022/01/23 15:56:00,AQUA_M-T,Brasil,BAHIA,UAUÁ,Caatinga,0.0,2.5,0.2,-10.07886,-39.32701,17.2
2022/01/23 15:58:00,AQUA_M-T,Brasil,MARANHÃO,MAGALHÃES DE ALMEIDA,Cerrado,0.0,4.3,0.0,-3.35125,-42.27296,21.9
2022/01/23 15:58:00,AQUA_M-T,Brasil,MARANHÃO,CAXIAS,Cerrado,0.0,0.0,0.0,-4.62891,-43.14998,28.7
2022/01/23 15:58:00,AQUA_M-T,Brasil,MARANHÃO,PIRAPEMAS,Cerrado,2.0,4.6,0.1,-3.858,-44.29139,39.2
2022/01/23 15:58:00,AQUA_M-T,Brasil,MARANHÃO,PIRAPEMAS,Cerrado,2.0,4.5,0.1,-3.86584,-44.29776,117.4
2022/01/23 15:58:00,AQUA_M-T,Brasil,MARANHÃO,CAXIAS,Cerrado,4.0,0.5,0.0,-5.05171,-43.38152,28.1
2022/01/23 15:58:00,AQUA_M-T,Brasil,MARANHÃO,TUTÓIA,Cerrado,-999.0,1.5,0.1,-2.81873,-42.38307,19.2
2022/01/23 15:56:00,AQUA_M-T,Brasil,PIAUÍ,CURRAIS,Cerrado,3.0,1.6,0.0,-8.67733,-44.63524,69.3
2022/01/23 17:34:00,AQUA_M-T,Brasil,GOIÁS,SANTO ANTÔNIO DA BARRA,Cerrado,4.0,0.5,0.2,-17.47762,-50.5531,18.0
2022/01/23 17:34:00,AQUA_M-T,Brasil,GOIÁS,ITARUMÃ,Cerrado,2.0,6.1,0.2,-19.04138,-51.11206,30.1
2022/01/23 17:32:00,AQUA_M-T,Brasil,SÃO PAULO,MARTINÓPOLIS,Cerrado,0.0,0.0,0.6,-22.50809,-51.2565,20.0
2022/01/23 17:32:00,AQUA_M-T,Brasil,RIO GRANDE DO SUL,MAÇAMBARÁ,Pampa,4.0,0.0,0.9,-29.03152,-56.15849,16.8
2022/01/23 17:32:00,AQUA_M-T,Brasil,RIO GRANDE DO SUL,MAÇAMBARÁ,Pampa,4.0,0.0,0.9,-29.04745,-56.1329,15.9
2022/01/23 17:34:00,AQUA_M-T,Brasil,MATO GROSSO DO SUL,CORUMBÁ,Pantanal,1.0,0.1,0.1,-18.18795,-56.66525,9.1
2022/01/23 17:34:00,AQUA_M-T,Brasil,MATO GROSSO DO SUL,AQUIDAUANA,Pantanal,0.0,0.1,0.3,-19.31317,-55.80177,8.0
2022/01/23 17:34:00,AQUA_M-T,Brasil,MATO GROSSO DO SUL,CORUMBÁ,Pantanal,0.0,0.0,0.2,-18.68898,-57.34509,14.8
2022/01/23 17:34:00,AQUA_M-T,Brasil,MATO GROSSO DO SUL,MIRANDA,Pantanal,4.0,0.1,0.6,-20.24971,-56.61596,10.1
2022/01/23 17:34:00,AQUA_M-T,Brasil,MATO GROSSO DO SUL,CORUMBÁ,Pantanal,4.0,0.0,0.8,-19.62363,-57.00399,11.4
2022/01/23 17:34:00,AQUA_M-T,Brasil,MATO GROSSO DO SUL,AQUIDAUANA,Pantanal,4.0,0.0,0.8,-19.63132,-56.99297,23.6
2022/01/23 17:34:00,AQUA_M-T,Brasil,MATO GROSSO DO SUL,CORUMBÁ,Pantanal,4.0,0.0,0.8,-19.63266,-57.00256,45.5
2022/01/23 17:34:00,AQUA_M-T,Brasil,MATO GROSSO DO SUL,CORUMBÁ,Pantanal,4.0,0.0,0.7,-19.63401,-57.01215,32.8
2022/01/23 17:34:00,AQUA_M-T,Brasil,MATO GROSSO DO SUL,MIRANDA,Pantanal,4.0,0.0,0.8,-19.64035,-56.99154,32.7
2022/01/23 17:34:00,AQUA_M-T,Brasil,MATO GROSSO DO SUL,MIRANDA,Pantanal,4.0,0.0,0.9,-19.64938,-56.99011,62.3
2022/01/23 17:34:00,AQUA_M-T,Brasil,MATO GROSSO DO SUL,CORUMBÁ,Pantanal,1.0,0.0,0.5,-20.30298,-57.32949,95.3
2022/01/23 17:34:00,AQUA_M-T,Brasil,MATO GROSSO DO SUL,CORUMBÁ,Pantanal,1.0,0.0,0.5,-20.30703,-57.35903,10.2
2022/01/23 17:34:00,AQUA_M-T,Brasil,MATO GROSSO DO SUL,CORUMBÁ,Pantanal,1.0,0.0,0.2,-20.30433,-57.33929,28.5
2022/01/23 17:34:00,AQUA_M-T,Brasil,MATO GROSSO DO SUL,CORUMBÁ,Pantanal,1.0,0.0,0.5,-20.30568,-57.34918,69.8
2022/01/24 16:41:00,AQUA_M-T,Brasil,PARÁ,ULIANÓPOLIS,Amazônia,3.0,31.1,0.0,-3.86842,-47.12358,9.2
2022/01/24 16:39:00,AQUA_M-T,Brasil,BAHIA,LUÍS EDUARDO MAGALHÃES,Cerrado,1.0,9.1,0.0,-12.3164,-46.27938,24.8
2022/01/24 16:39:00,AQUA_M-T,Brasil,BAHIA,RIACHÃO DAS NEVES,Cerrado,9.0,1.9,0.1,-11.66527,-45.15145,17.0
2022/01/24 16:41:00,AQUA_M-T,Brasil,PARÁ,IPIXUNA DO PARÁ,Amazônia,2.0,23.1,0.0,-2.96958,-47.91882,10.9
2022/01/24 16:39:00,AQUA_M-T,Brasil,TOCANTINS,SUCUPIRA,Cerrado,4.0,3.3,0.1,-12.21215,-48.89871,11.9
2022/01/24 16:39:00,AQUA_M-T,Brasil,BAHIA,FORMOSA DO RIO PRETO,Cerrado,10.0,0.4,0.1,-10.94171,-45.11253,11.3
2022/01/24 16:39:00,AQUA_M-T,Brasil,BAHIA,FORMOSA DO RIO PRETO,Cerrado,10.0,0.4,0.2,-10.94042,-45.10334,13.6
2022/01/24 18:17:00,AQUA_M-T,Brasil,MATO GROSSO,CAMPOS DE JÚLIO,Cerrado,1.0,5.7,0.0,-14.08663,-59.31472,23.3
2022/01/24 16:39:00,AQUA_M-T,Brasil,BAHIA,FORMOSA DO RIO PRETO,Cerrado,9.0,0.3,0.1,-10.92386,-45.11163,11.2
2022/01/24 18:17:00,AQUA_M-T,Brasil,MATO GROSSO,CAMPOS DE JÚLIO,Cerrado,1.0,5.4,0.0,-14.07991,-59.31127,21.8
2022/01/24 16:39:00,AQUA_M-T,Brasil,PIAUÍ,CRISTALÂNDIA DO PIAUÍ,Cerrado,2.0,0.5,0.1,-10.60928,-45.16713,11.5
2022/01/24 16:41:00,AQUA_M-T,Brasil,TOCANTINS,PALMEIRAS DO TOCANTINS,Cerrado,0.0,0.9,0.0,-6.6885,-47.66709,9.1
2022/01/24 16:41:00,AQUA_M-T,Brasil,MARANHÃO,SÍTIO NOVO,Cerrado,0.0,3.0,0.0,-6.20445,-46.60098,9.8
2022/01/24 16:39:00,AQUA_M-T,Brasil,TOCANTINS,JAÚ DO TOCANTINS,Cerrado,2.0,13.3,0.0,-12.43207,-48.46907,16.4
2022/01/24 16:41:00,AQUA_M-T,Brasil,MARANHÃO,MARAJÁ DO SENA,Cerrado,2.0,1.2,0.0,-4.65705,-45.61498,5.9
2022/01/24 16:41:00,AQUA_M-T,Brasil,MARANHÃO,BOM JARDIM,Amazônia,2.0,7.5,0.1,-4.0066,-46.54117,18.2
2022/01/24 16:39:00,AQUA_M-T,Brasil,TOCANTINS,PEIXE,Cerrado,2.0,13.2,0.0,-12.4211,-48.47047,21.0
2022/01/24 16:39:00,AQUA_M-T,Brasil,BAHIA,SANTA RITA DE CÁSSIA,Cerrado,11.0,0.0,0.3,-11.06047,-44.52364,11.4
2022/01/24 16:41:00,AQUA_M-T,Brasil,PARÁ,CAMETÁ,Amazônia,0.0,0.6,0.0,-2.12347,-49.529,13.2
2022/01/24 16:39:00,AQUA_M-T,Brasil,TOCANTINS,CARIRI DO TOCANTINS,Cerrado,3.0,4.4,0.2,-12.13532,-49.28872,15.8
2022/01/24 16:39:00,AQUA_M-T,Brasil,BAHIA,FORMOSA DO RIO PRETO,Cerrado,10.0,0.4,0.1,-10.9443,-45.13094,16.4
2022/01/23 17:34:00,AQUA_M-T,Brasil,MATO GROSSO,PORTO DOS GAÚCHOS,Amazônia,0.0,31.6,0.0,-11.52918,-57.26302,8.2
2022/01/23 17:34:00,AQUA_M-T,Brasil,MATO GROSSO,PORTO DOS GAÚCHOS,Amazônia,0.0,32.0,0.0,-11.53055,-57.27232,8.2
2022/01/23 17:34:00,AQUA_M-T,Brasil,MATO GROSSO,PORTO DOS GAÚCHOS,Amazônia,0.0,32.5,0.0,-11.53192,-57.28159,6.8
2022/01/23 17:34:00,AQUA_M-T,Brasil,RONDÔNIA,PIMENTA BUENO,Amazônia,2.0,24.2,0.0,-11.92528,-60.74992,21.3
2022/01/23 17:34:00,AQUA_M-T,Brasil,RONDÔNIA,PIMENTA BUENO,Amazônia,2.0,24.1,0.0,-11.92185,-60.74602,23.7
2022/01/23 17:34:00,AQUA_M-T,Brasil,RONDÔNIA,PIMENTA BUENO,Amazônia,2.0,24.1,0.0,-11.92334,-60.75688,8.1
2022/01/23 17:34:00,AQUA_M-T,Brasil,MATO GROSSO,ITANHANGÁ,Amazônia,1.0,2.6,0.1,-11.99969,-56.82297,14.8
2022/01/23 17:34:00,AQUA_M-T,Brasil,MATO GROSSO,ITANHANGÁ,Amazônia,1.0,2.8,0.1,-12.00185,-56.77398,11.1
2022/01/23 17:34:00,AQUA_M-T,Brasil,RONDÔNIA,PIMENTA BUENO,Amazônia,2.0,36.8,0.0,-12.04724,-60.68314,22.5
2022/01/23 17:34:00,AQUA_M-T,Brasil,RONDÔNIA,PIMENTA BUENO,Amazônia,2.0,36.4,0.0,-12.04869,-60.69389,11.4
2022/01/23 17:34:00,AQUA_M-T,Brasil,TOCANTINS,PEIXE,Cerrado,2.0,0.0,0.1,-12.18855,-48.37746,42.9
2022/01/23 17:34:00,AQUA_M-T,Brasil,MATO GROSSO,NOVA MARINGÁ,Amazônia,0.0,11.8,0.0,-12.42517,-57.27813,13.7
2022/01/23 17:34:00,AQUA_M-T,Brasil,MATO GROSSO,ITANHANGÁ,Amazônia,0.0,28.7,0.0,-12.31513,-56.59269,14.3
2022/01/23 17:34:00,AQUA_M-T,Brasil,MATO GROSSO,TAPURAH,Amazônia,0.0,54.5,0.0,-12.56979,-56.8809,9.7
2022/01/23 17:34:00,AQUA_M-T,Brasil,MATO GROSSO,TAPURAH,Cerrado,3.0,16.0,0.0,-12.66137,-56.44448,14.1
2022/01/23 17:34:00,AQUA_M-T,Brasil,MATO GROSSO,NOVA UBIRATÃ,Amazônia,1.0,0.9,0.0,-13.00769,-55.0797,28.5
2022/01/23 17:34:00,AQUA_M-T,Brasil,MATO GROSSO,LUCAS DO RIO VERDE,Cerrado,0.0,9.2,0.0,-13.08378,-55.95812,17.3
2022/01/23 17:34:00,AQUA_M-T,Brasil,MATO GROSSO,NOVA MARINGÁ,Amazônia,2.0,6.5,0.0,-13.13345,-56.90406,20.2
2022/01/23 17:34:00,AQUA_M-T,Brasil,MATO GROSSO,SÃO JOSÉ DO RIO CLARO,Amazônia,1.0,3.3,0.0,-13.21499,-56.89133,16.3
2022/01/23 17:34:00,AQUA_M-T,Brasil,MATO GROSSO,SÃO JOSÉ DO RIO CLARO,Amazônia,0.0,1.1,0.0,-13.3221,-56.87202,16.1
2022/01/23 17:34:00,AQUA_M-T,Brasil,MATO GROSSO,SÃO JOSÉ DO RIO CLARO,Cerrado,0.0,0.6,0.0,-13.39236,-56.90892,20.5
2022/01/23 17:34:00,AQUA_M-T,Brasil,MATO GROSSO,SÃO JOSÉ DO RIO CLARO,Cerrado,0.0,0.6,0.0,-13.4014,-56.90751,15.2
2022/01/23 17:34:00,AQUA_M-T,Brasil,MATO GROSSO,SÃO JOSÉ DO RIO CLARO,Amazônia,0.0,1.1,0.0,-13.32071,-56.86263,8.9
2022/01/23 17:34:00,AQUA_M-T,Brasil,MATO GROSSO,SÃO JOSÉ DO RIO CLARO,Cerrado,0.0,5.2,0.0,-13.59885,-56.9341,16.2
2022/01/23 17:34:00,AQUA_M-T,Brasil,MATO GROSSO,ÁGUA BOA,Cerrado,6.0,0.2,0.1,-14.10523,-52.03741,32.5
2022/01/23 17:34:00,AQUA_M-T,Brasil,MATO GROSSO,DENISE,Amazônia,0.0,16.7,0.0,-14.69574,-57.07549,14.6
2022/01/24 16:39:00,AQUA_M-T,Brasil,PIAUÍ,CRISTALÂNDIA DO PIAUÍ,Cerrado,1.0,0.6,0.1,-10.60798,-45.15796,28.4
2022/01/24 16:39:00,AQUA_M-T,Brasil,TOCANTINS,ALMAS,Cerrado,0.0,4.7,0.0,-11.20981,-46.92339,7.9
2022/01/24 16:39:00,AQUA_M-T,Brasil,TOCANTINS,MIRACEMA DO TOCANTINS,Cerrado,1.0,17.7,0.0,-9.96262,-48.49039,9.5
2022/01/24 16:39:00,AQUA_M-T,Brasil,TOCANTINS,JAÚ DO TOCANTINS,Cerrado,2.0,11.8,0.0,-12.43382,-48.48275,20.2
2022/01/23 17:34:00,AQUA_M-T,Brasil,MATO GROSSO,TANGARÁ DA SERRA,Amazônia,0.0,5.4,0.0,-14.72275,-57.581,18.5
2022/01/23 17:34:00,AQUA_M-T,Brasil,MATO GROSSO,DENISE,Amazônia,0.0,14.8,0.0,-14.76697,-56.99135,13.2
2022/01/22 18:25:00,AQUA_M-T,Brasil,RIO GRANDE DO SUL,ITAQUI,Pampa,0.0,0.0,1.0,-29.36834,-55.84194,242.8
2022/01/22 18:25:00,AQUA_M-T,Brasil,RIO GRANDE DO SUL,ITAQUI,Pampa,0.0,0.0,1.0,-29.36767,-55.85064,213.3
